,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season17_18
223,2017.0,Alex Len,C,23.0,PHO,77.0,34.0,20.25974025974026,15.0,0.5529999999999999,0.026000000000000002,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,,1.2,1.7,3.0,0.091,,-3.0,1.2,-1.8,0.1,2.987012987012987,6.012987012987013,0.49700000000000005,0.03896103896103896,0.15584415584415584,0.25,2.948051948051948,5.857142857142857,0.503,0.5,1.948051948051948,2.7012987012987013,0.721,2.0259740259740258,4.597402597402597,6.623376623376624,0.5714285714285714,0.4805194805194805,1.2727272727272727,1.3246753246753247,3.142857142857143,7.961038961038961,4187599.0
224,2017.0,Kawhi Leonard,SF,25.0,SAS,74.0,74.0,33.432432432432435,27.5,0.611,0.294,0.40700000000000003,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,,8.9,4.7,13.6,0.264,,6.4,1.5,7.9,6.2,8.594594594594595,17.716216216216218,0.485,1.9864864864864864,5.216216216216216,0.381,6.608108108108108,12.5,0.529,0.541,6.337837837837838,7.202702702702703,0.88,1.0810810810810811,4.72972972972973,5.8108108108108105,3.5135135135135136,1.7837837837837838,0.7432432432432432,2.081081081081081,1.6486486486486487,25.513513513513512,18868625.0
225,2017.0,Meyers Leonard,PF,24.0,POR,74.0,12.0,16.513513513513512,8.9,0.507,0.563,0.106,2.4,19.0,10.7,8.4,0.5,1.8,8.1,15.5,,0.5,0.8,1.4,0.053,,-2.1,-1.3,-3.4,-0.4,1.972972972972973,5.108108108108108,0.386,1.0,2.8783783783783785,0.34700000000000003,0.972972972972973,2.22972972972973,0.436,0.484,0.47297297297297297,0.5405405405405406,0.875,0.36486486486486486,2.824324324324324,3.189189189189189,0.9594594594594594,0.17567567567567569,0.3783783783783784,0.47297297297297297,2.324324324324324,5.418918918918919,9904495.0
226,2017.0,Jon Leuer,PF,27.0,DET,75.0,34.0,25.92,14.2,0.551,0.259,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,,2.5,2.0,4.5,0.11199999999999999,,-0.4,0.5,0.2,1.1,4.133333333333334,8.613333333333333,0.48,0.6533333333333333,2.2266666666666666,0.293,3.48,6.386666666666667,0.545,0.518,1.3066666666666666,1.5066666666666666,0.867,1.36,4.0,5.36,1.48,0.41333333333333333,0.3466666666666667,0.88,1.9333333333333333,10.226666666666667,10497319.0
227,2017.0,Caris LeVert,SF,22.0,BRK,57.0,26.0,21.70175438596491,12.2,0.556,0.484,0.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,,0.8,1.0,1.8,0.07,,-0.7,-0.4,-1.1,0.3,3.0,6.666666666666667,0.45,1.0350877192982457,3.2280701754385963,0.321,1.9649122807017543,3.43859649122807,0.5710000000000001,0.528,1.1754385964912282,1.631578947368421,0.72,0.40350877192982454,2.8947368421052633,3.2982456140350878,1.9298245614035088,0.8596491228070176,0.14035087719298245,1.0350877192982457,1.5964912280701755,8.210526315789474,1632480.0
228,2017.0,DeAndre Liggins,SG,28.0,TOT,62.0,19.0,12.53225806451613,7.5,0.47600000000000003,0.324,0.282,2.9,12.2,7.7,9.2,3.0,1.5,20.8,11.6,,-0.4,0.9,0.5,0.031,,-3.9,1.8,-2.1,0.0,0.8870967741935484,2.2903225806451615,0.387,0.27419354838709675,0.7419354838709677,0.37,0.6129032258064516,1.5483870967741935,0.396,0.447,0.4032258064516129,0.6451612903225806,0.625,0.3225806451612903,1.4193548387096775,1.7419354838709677,0.8709677419354839,0.7580645161290323,0.22580645161290322,0.6774193548387096,1.3064516129032258,2.4516129032258065,1776241.0
229,2017.0,Damian Lillard,PG,26.0,POR,75.0,75.0,35.92,24.1,0.586,0.38799999999999996,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,,8.8,1.5,10.3,0.184,,6.4,-2.0,4.3,4.3,8.813333333333333,19.84,0.444,2.8533333333333335,7.706666666666667,0.37,5.96,12.133333333333333,0.491,0.516,6.506666666666667,7.266666666666667,0.895,0.6133333333333333,4.293333333333333,4.906666666666666,5.8533333333333335,0.9066666666666666,0.26666666666666666,2.6266666666666665,2.026666666666667,26.986666666666668,26153057.0
230,2017.0,Jeremy Lin,PG,28.0,BRK,36.0,33.0,24.52777777777778,19.2,0.5660000000000001,0.39,0.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,,1.3,0.8,2.1,0.115,,2.5,-0.5,2.0,0.9,4.861111111111111,11.11111111111111,0.43799999999999994,1.6111111111111112,4.333333333333333,0.37200000000000005,3.25,6.777777777777778,0.48,0.51,3.1944444444444446,3.9166666666666665,0.816,0.3055555555555556,3.4444444444444446,3.75,5.111111111111111,1.1388888888888888,0.3888888888888889,2.388888888888889,2.1944444444444446,14.527777777777779,12000000.0
231,2017.0,Shaun Livingston,PG,31.0,GSW,76.0,3.0,17.69736842105263,10.1,0.568,0.009000000000000001,0.19,2.4,9.4,6.2,13.5,1.4,1.2,15.1,12.9,,1.1,1.6,2.6,0.094,,-2.5,0.5,-2.0,0.0,2.276315789473684,4.157894736842105,0.547,0.013157894736842105,0.039473684210526314,0.33299999999999996,2.263157894736842,4.118421052631579,0.55,0.5489999999999999,0.5526315789473685,0.7894736842105263,0.7,0.3684210526315789,1.618421052631579,1.986842105263158,1.8289473684210527,0.5,0.2631578947368421,0.8026315789473685,1.5789473684210527,5.118421052631579,7692308.0
232,2017.0,Kevon Looney,C,20.0,GSW,53.0,4.0,8.433962264150944,13.4,0.5529999999999999,0.084,0.318,11.5,18.5,15.2,8.5,1.5,3.0,12.2,13.4,,0.7,0.8,1.4,0.154,,-1.4,1.7,0.3,0.3,1.0566037735849056,2.018867924528302,0.523,0.03773584905660377,0.16981132075471697,0.222,1.0188679245283019,1.849056603773585,0.551,0.5329999999999999,0.39622641509433965,0.6415094339622641,0.618,0.8301886792452831,1.509433962264151,2.339622641509434,0.5471698113207547,0.2641509433962264,0.32075471698113206,0.32075471698113206,1.2075471698113207,2.547169811320755,1471382.0
